id,time,Head_x,Head_y,Head_z,ShoulderCenter_x,ShoulderCenter_y,ShoulderCenter_z,ShoulderLeft_x,ShoulderLeft_y,ShoulderLeft_z,ShoulderRight_x,ShoulderRight_y,ShoulderRight_z,ElbowLeft_x,ElbowLeft_y,ElbowLeft_z,ElbowRight_x,ElbowRight_y,ElbowRight_z,WristLeft_x,WristLeft_y,WristLeft_z,WristRight_x,WristRight_y,WristRight_z,HandLeft_x,HandLeft_y,HandLeft_z,HandRight_x,HandRight_y,HandRight_z,Spine_x,Spine_y,Spine_z,HipCenter_x,HipCenter_y,HipCenter_z,HipLeft_x,HipLeft_y,HipLeft_z,HipRight_x,HipRight_y,HipRight_z,KneeLeft_x,KneeLeft_y,KneeLeft_z,KneeRight_x,KneeRight_y,KneeRight_z,AnkleLeft_x,AnkleLeft_y,AnkleLeft_z,AnkleRight_x,AnkleRight_y,AnkleRight_z,FootLeft_x,FootLeft_y,FootLeft_z,FootRight_x,FootRight_y,FootRight_z
1,2717014237,-0.112708166,0.668655336,2.249044418,-0.157378718,0.480684161,2.328367233,-0.335129291,0.412432253,2.351212263,0.012207499,0.353916943,2.356321335,-0.439260185,0.154913008,2.391647816,0.067615397,0.115999088,2.341901302,-0.515095651,-0.061215874,2.27917552,0.14085871,-0.139204904,2.173171759,100,100,2.233586073,0.166177422,-0.215130687,2.133081913,-0.179950297,0.141543701,2.340520144,-0.184119195,0.074838482,2.321831465,-0.266293406,0.003776762,2.307440758,-0.113026343,-0.014215799,2.32941556,-0.307124794,-0.478424579,2.277858257,-0.067186236,-0.474978685,2.225592136,-0.2832129,-0.844753504,2.267768145,-0.05503282,-0.832869649,2.211889505,-0.281168252,-0.885706067,2.175098896,-0.052988164,-0.873822212,2.119220257
2,2717014241,-0.113159806,0.658642232,2.244368792,-0.15775767,0.47802183,2.328501701,-0.334535748,0.411801606,2.350578308,0.012047486,0.350867122,2.357328892,-0.439421564,0.155570567,2.391227722,0.069159545,0.114708208,2.342487812,-0.513917446,-0.060062878,2.276684523,0.149610758,-0.138842702,2.174761295,100,100,2.227636576,0.176409751,-0.215071023,2.133787155,-0.181094408,0.139007404,2.341522694,-0.18527253,0.0722358,2.323219776,-0.267361492,0.002099714,2.308886051,-0.11430306,-0.017088668,2.330890894,-0.307757914,-0.472396851,2.276274443,-0.05999925,-0.473144829,2.220074654,-0.285456628,-0.843792915,2.266788483,-0.035268672,-0.832023501,2.210515738,-0.283001393,-0.884937942,2.174039602,-0.032813434,-0.873168528,2.117766857
3,2717014244,-0.107204266,0.661004066,2.246193647,-0.156780049,0.477275372,2.327792168,-0.331250221,0.411441684,2.348990679,0.013267488,0.349397868,2.357594013,-0.43893981,0.156569853,2.39077425,0.073947281,0.109963268,2.343533993,-0.511265159,-0.060444728,2.274953604,0.162874222,-0.140200138,2.174989462,100,100,2.224446774,0.188766718,-0.214231193,2.134284258,-0.18094863,0.138228804,2.341712952,-0.185115665,0.071201451,2.324037075,-0.267273128,0.001579325,2.309487581,-0.114336409,-0.018589493,2.332705736,-0.307721496,-0.470836252,2.275109768,-0.054652497,-0.472813815,2.218666077,-0.286712348,-0.842682958,2.266221046,-0.009768459,-0.835601449,2.211304665,-0.283808917,-0.884044766,2.17342329,-0.006865031,-0.876963258,2.118506908
4,2717014247,-0.102993481,0.660455346,2.245840311,-0.153804258,0.475980103,2.326406717,-0.328623146,0.41073525,2.34848094,0.015812382,0.346908897,2.357576132,-0.438029945,0.156805515,2.390099525,0.082473263,0.105420426,2.344024897,-0.509097815,-0.060229972,2.272760391,0.176224917,-0.141822204,2.173641682,100,100,2.220313311,0.204877973,-0.213811964,2.134091139,-0.179743454,0.136788428,2.341467142,-0.184096366,0.069564827,2.324488401,-0.266765416,0.000602972,2.309779644,-0.113189153,-0.020796649,2.333838224,-0.307362735,-0.469407529,2.273119211,-0.049250007,-0.473217696,2.219406843,-0.287400246,-0.841922879,2.265208721,0.014671872,-0.838127851,2.209115505,-0.284426481,-0.883520901,2.172371149,0.017645642,-0.879725873,2.116277933
5,2717014250,-0.093094394,0.65827322,2.244735241,-0.14424634,0.47336787,2.324784517,-0.322176278,0.410980254,2.346875668,0.021013726,0.345526874,2.358210564,-0.434032232,0.157668442,2.388469934,0.091554716,0.102723449,2.345163345,-0.502837062,-0.060836889,2.268378496,0.197897434,-0.137750134,2.172251701,100,100,2.21851778,0.218237951,-0.203429461,2.139220715,-0.175966009,0.135176256,2.341027975,-0.181077853,0.068044282,2.32486701,-0.264632404,-0.000241197,2.309915304,-0.110892139,-0.02256296,2.334764004,-0.306130588,-0.466776729,2.269938707,-0.042665754,-0.472750306,2.221567392,-0.287332296,-0.842047751,2.265046358,0.036940366,-0.830416322,2.202504158,-0.283843428,-0.883914053,2.172239304,0.040429223,-0.872282624,2.109697104
6,2717014254,-0.083376572,0.656571686,2.243567228,-0.139773518,0.472078741,2.325244427,-0.315823436,0.409244686,2.345699072,0.026415098,0.341385365,2.357467651,-0.430400908,0.155596256,2.386383772,0.103727043,0.096272469,2.345476627,-0.497176349,-0.060960662,2.267145395,0.214639306,-0.139176026,2.168093204,100,100,2.21628952,0.238121837,-0.204001367,2.135668516,-0.172744691,0.1331442,2.340100288,-0.178197488,0.06597802,2.324282885,-0.262158781,-0.00163677,2.309003592,-0.108605832,-0.024766628,2.334252596,-0.30484876,-0.465174317,2.267440081,-0.034370296,-0.468345582,2.225380421,-0.288260579,-0.840917706,2.262241364,0.043923818,-0.828804016,2.202813864,-0.28458491,-0.882740915,2.169310808,0.047599498,-0.870627224,2.109883308
7,2717014257,-0.072798789,0.656657457,2.242838383,-0.132244423,0.470782757,2.32335639,-0.304478139,0.409512579,2.343500376,0.035632588,0.338161141,2.35764432,-0.422857255,0.156397372,2.385339975,0.114334911,0.095957197,2.347351074,-0.489757627,-0.062700689,2.264467239,0.229119837,-0.136108309,2.1676929,100,100,2.21211338,0.266322315,-0.204990536,2.126923323,-0.166270316,0.131040901,2.338317633,-0.171962172,0.063694783,2.323141575,-0.255891472,-0.003208913,2.307503223,-0.103183985,-0.027527751,2.333697557,-0.303127199,-0.465376049,2.264842749,-0.027414447,-0.468276143,2.229875088,-0.288072705,-0.841853976,2.261704683,0.053918388,-0.827546418,2.205183744,-0.283760995,-0.883833408,2.168738842,0.058230095,-0.86952585,2.112217903
8,2717014260,-0.063340008,0.658412218,2.242908239,-0.118455663,0.469040245,2.323959112,-0.297460973,0.408912301,2.342465162,0.044793639,0.33515811,2.356332541,-0.415516138,0.153733402,2.382528782,0.126168534,0.095505461,2.346134186,-0.481450766,-0.068741068,2.257425308,0.25041917,-0.131204069,2.165768385,100,100,2.208126783,0.280624717,-0.192460954,2.132062912,-0.15501143,0.129370555,2.337276936,-0.161270693,0.062107559,2.322165012,-0.245603234,-0.004609085,2.305611134,-0.093356609,-0.029805236,2.333033085,-0.299327731,-0.465351284,2.26031661,-0.020788822,-0.469248652,2.234206676,-0.287402034,-0.841674566,2.260491848,0.063584924,-0.828975797,2.210254192,-0.283095837,-0.883562326,2.167359352,0.067891128,-0.870863557,2.117121696
9,2717014264,-0.049724214,0.65540278,2.243393183,-0.108717084,0.466076732,2.321801901,-0.28699699,0.406072676,2.340216875,0.060946919,0.330607474,2.356585979,-0.403604567,0.154613137,2.379940987,0.140137017,0.0936694,2.345934868,-0.470666915,-0.066040188,2.2565732,0.271659851,-0.126972556,2.163036585,100,100,2.207922459,0.301634818,-0.18817091,2.129114866,-0.14270553,0.127724901,2.335005045,-0.148314565,0.060733527,2.320207834,-0.232979208,-0.00684925,2.303389788,-0.07901074,-0.03206845,2.33130002,-0.293008149,-0.466389179,2.255275965,-0.016716467,-0.470900148,2.236766577,-0.287078142,-0.841146886,2.258983612,0.065657578,-0.829497337,2.212033272,-0.282183766,-0.883097649,2.16580677,0.070551954,-0.8714481,2.118855953
10,2717014267,-0.041248605,0.646565199,2.237907648,-0.102608964,0.463430166,2.322168827,-0.271749198,0.401841342,2.336390018,0.065216452,0.330347419,2.355619431,-0.392273664,0.153885871,2.378031969,0.155759245,0.09648101,2.343958855,-0.464088291,-0.064640969,2.255743265,0.284233898,-0.126937792,2.162367344,100,100,2.20718503,0.319662571,-0.185232028,2.128686428,-0.136294097,0.124305569,2.333444357,-0.141613513,0.057213243,2.318258762,-0.225279927,-0.009767789,2.302125931,-0.073304079,-0.03393811,2.328010082,-0.28610599,-0.462612867,2.250991106,-0.010894089,-0.471265227,2.238481998,-0.28565371,-0.837057948,2.252612114,0.066179305,-0.829398274,2.212301493,-0.279764503,-0.878865778,2.159332991,0.072068527,-0.871206105,2.119022369
