id,time,Head_x,Head_y,Head_z,ShoulderCenter_x,ShoulderCenter_y,ShoulderCenter_z,ShoulderLeft_x,ShoulderLeft_y,ShoulderLeft_z,ShoulderRight_x,ShoulderRight_y,ShoulderRight_z,ElbowLeft_x,ElbowLeft_y,ElbowLeft_z,ElbowRight_x,ElbowRight_y,ElbowRight_z,WristLeft_x,WristLeft_y,WristLeft_z,WristRight_x,WristRight_y,WristRight_z,HandLeft_x,HandLeft_y,HandLeft_z,HandRight_x,HandRight_y,HandRight_z,Spine_x,Spine_y,Spine_z,HipCenter_x,HipCenter_y,HipCenter_z,HipLeft_x,HipLeft_y,HipLeft_z,HipRight_x,HipRight_y,HipRight_z,KneeLeft_x,KneeLeft_y,KneeLeft_z,KneeRight_x,KneeRight_y,KneeRight_z,AnkleLeft_x,AnkleLeft_y,AnkleLeft_z,AnkleRight_x,AnkleRight_y,AnkleRight_z,FootLeft_x,FootLeft_y,FootLeft_z,FootRight_x,FootRight_y,FootRight_z
1,313481913,-0.026368681,0.693871915,2.888344049,-0.043239564,0.490676075,2.969688892,-0.219191208,0.391310275,2.998520374,0.136405438,0.379276752,2.95067215,-0.364771783,0.091341287,2.963107586,0.208526447,0.108506583,2.952314615,-0.5511446,-0.050853461,2.872533321,0.334100038,-0.049734078,2.796703577,-0.601708651,-0.066319734,2.88084507,0.393918186,-0.100330681,2.747509956,-0.034776192,0.112571307,2.955435276,-0.040889546,0.049342718,2.894859791,-0.119639173,-0.030378502,2.883266926,0.039032105,-0.028463038,2.876018047,-0.157034501,-0.474435329,2.829572201,0.077523343,-0.473721594,2.81828928,-0.151674137,-0.876315057,2.870112181,0.090415351,-0.877688229,2.858647823,-0.163849235,-0.966485798,2.822715044,0.129027277,-0.978403509,2.796604872
2,313481916,-0.026386995,0.693952441,2.888400078,-0.044465017,0.490620196,2.970339298,-0.219259351,0.391367376,2.998411894,0.135486871,0.379440367,2.951928139,-0.36329636,0.094752938,2.96562171,0.209745735,0.113667652,2.954988241,-0.555992663,-0.033487201,2.866034031,0.333902061,-0.041631952,2.794660568,-0.591165543,-0.040545713,2.881782532,0.399482667,-0.080436781,2.741572857,-0.035085142,0.11251466,2.956101656,-0.040898554,0.049287483,2.895448923,-0.119427428,-0.030317327,2.883796453,0.03903909,-0.02841353,2.876615524,-0.157131419,-0.473273903,2.82977438,0.077380888,-0.472454667,2.818647146,-0.151889428,-0.877022207,2.869780302,0.09021797,-0.877717793,2.858922482,-0.165133849,-0.967448592,2.822091103,0.12957108,-0.978471875,2.795848608
3,313481919,-0.027301632,0.694336474,2.887144327,-0.044747666,0.490955383,2.970750332,-0.221913993,0.392135143,2.999878168,0.134802148,0.380249977,2.952996731,-0.350693733,0.12129458,2.980889797,0.209856793,0.120265894,2.958182812,-0.538255095,-0.006106474,2.869535208,0.336143792,-0.025774263,2.790394783,-0.599600196,-0.030472051,2.874307871,0.421123505,-0.069043159,2.725257158,-0.035268962,0.113534421,2.957298279,-0.041071668,0.050373547,2.896710396,-0.119819403,-0.029702052,2.884489059,0.039297655,-0.027432628,2.878152132,-0.15713802,-0.473341852,2.829999924,0.077480316,-0.472741783,2.818744421,-0.151893839,-0.876977324,2.870168686,0.090002581,-0.877313852,2.859131098,-0.16508843,-0.967829645,2.822123051,0.128266513,-0.976913273,2.795695782
4,313481923,-0.028854681,0.693253994,2.887294531,-0.045589801,0.490955621,2.971250772,-0.221794695,0.392544806,3.000024796,0.13413921,0.38015011,2.953778505,-0.344047338,0.14060472,2.986006498,0.206311688,0.118138202,2.95760417,-0.53571552,0.012380542,2.867501736,0.380049974,-0.019448495,2.742059469,-0.60510993,-0.017452629,2.868111134,0.425119579,-0.045245308,2.722584724,-0.035370272,0.113704652,2.957997561,-0.040945057,0.050557096,2.897411823,-0.119495161,-0.029336574,2.88487792,0.039538655,-0.026979195,2.879647493,-0.15724358,-0.472956508,2.830512047,0.077347457,-0.472606421,2.818917274,-0.151885405,-0.877445698,2.869651794,0.090057969,-0.878995597,2.859084606,-0.167094499,-0.968579531,2.822510242,0.129056439,-0.977235675,2.795613527
5,313481926,-0.030945849,0.691907644,2.88776207,-0.046054639,0.490631878,2.970970154,-0.221877694,0.392638475,2.999923229,0.133730248,0.380507767,2.955169439,-0.341578007,0.14747335,2.986122847,0.198238969,0.119479746,2.963867903,-0.529567301,0.032954149,2.861314297,0.380997211,-0.01535398,2.741889715,-0.593814135,0.006256796,2.86494875,0.424955904,-0.030655859,2.725104094,-0.035625283,0.113823541,2.958323002,-0.040959839,0.050695136,2.897828817,-0.119459495,-0.02913937,2.885220528,0.03959604,-0.026858455,2.880394936,-0.157415926,-0.470691919,2.830812454,0.077273212,-0.472597748,2.819040775,-0.151862845,-0.877799809,2.869759083,0.089921981,-0.879917204,2.858870268,-0.167498037,-0.969152868,2.822825193,0.130430758,-0.978369653,2.79760623
6,313481929,-0.03279867,0.690681994,2.886847258,-0.046867631,0.490608871,2.971262693,-0.222070187,0.392833799,3.00002861,0.133309022,0.380407333,2.955799341,-0.342606097,0.147405162,2.986620426,0.19273597,0.119772062,2.970776796,-0.531852424,0.037421517,2.859783173,0.383617401,-0.003935879,2.741195679,-0.595842242,0.0107294,2.863605499,0.424060345,-0.014507207,2.728146315,-0.036292825,0.113916948,2.959004879,-0.041491747,0.050764944,2.898482561,-0.119984493,-0.029036036,2.886044025,0.039157812,-0.026785748,2.880835295,-0.157236069,-0.470240712,2.831192732,0.077663101,-0.471090555,2.819766283,-0.151799366,-0.877685905,2.869669676,0.089849219,-0.879671276,2.859083176,-0.166675761,-0.967811346,2.819767952,0.130464926,-0.978314221,2.797496796
7,313481933,-0.032160204,0.692942262,2.887761831,-0.047615029,0.49076128,2.971373558,-0.222477138,0.39877668,3.0008564,0.132947668,0.380223662,2.956708193,-0.343110025,0.14796783,2.987117529,0.191392273,0.119503185,2.968404055,-0.550935686,0.08873421,2.855371475,0.389477491,0.010517362,2.73626709,-0.614819348,0.060471755,2.859094381,0.43019864,0.004046868,2.724125147,-0.036955684,0.114356883,2.959605932,-0.041923691,0.051217202,2.899098158,-0.120304532,-0.028290076,2.886395931,0.038640045,-0.026556049,2.881889343,-0.15755485,-0.469947189,2.831731081,0.077649698,-0.471061081,2.819800615,-0.151678324,-0.877971232,2.869557858,0.089223437,-0.879793227,2.859216452,-0.166726604,-0.96792078,2.818776608,0.13070637,-0.978418887,2.797495842
8,313481937,-0.033005435,0.693340421,2.888257027,-0.04805848,0.491180778,2.972023726,-0.22276707,0.399096251,3.001001358,0.132947773,0.380474448,2.957980633,-0.343598962,0.156366438,2.988933325,0.190987706,0.118404828,2.96873951,-0.554830194,0.101193294,2.849107742,0.392446101,0.023555443,2.73588109,-0.646439195,0.091105603,2.838065386,0.435823977,0.024567351,2.72166276,-0.037397455,0.114790745,2.960473776,-0.042153265,0.051624589,2.899901628,-0.120489962,-0.02797867,2.88663435,0.038485613,-0.026329979,2.883280516,-0.157528847,-0.470372438,2.831899643,0.077582397,-0.471048206,2.819783688,-0.151723921,-0.878153622,2.869387865,0.089113511,-0.879321992,2.859342337,-0.167545855,-0.968677044,2.816429615,0.13214159,-0.979340971,2.801651716
9,313481940,-0.033849761,0.689477921,2.889720917,-0.049408685,0.49090153,2.972421169,-0.222993672,0.400070757,3.001653671,0.132870689,0.380851865,2.95857048,-0.347276986,0.158272535,2.990910769,0.19134295,0.117660739,2.970342398,-0.55603385,0.108363174,2.845649719,0.39239043,0.041389666,2.739942551,-0.66477716,0.101247236,2.826859713,0.433083683,0.039337654,2.726714611,-0.037869077,0.115027107,2.961055517,-0.042508498,0.051923946,2.900483847,-0.120608918,-0.02771055,2.886723995,0.038043007,-0.026119711,2.884597063,-0.158044636,-0.469915062,2.831992388,0.077502146,-0.470893502,2.819771528,-0.151536554,-0.876307726,2.869728804,0.088922903,-0.87886548,2.85926342,-0.166509032,-0.966341674,2.822686911,0.13184081,-0.979046941,2.800769091
10,313481943,-0.032651238,0.693788171,2.890862465,-0.049895436,0.491262972,2.972352743,-0.223384187,0.400957048,3.001512766,0.132897541,0.381226867,2.959949255,-0.350589603,0.159906879,2.98986721,0.190624908,0.121069565,2.971313,-0.575377226,0.121813744,2.83613801,0.39776814,0.057178896,2.738434076,-0.651335001,0.126510188,2.810718298,0.439873993,0.056926005,2.722922087,-0.038500514,0.115746692,2.961547136,-0.042878237,0.052683156,2.901034594,-0.121002361,-0.026826769,2.887311697,0.037840564,-0.025748895,2.88499856,-0.158127815,-0.469822019,2.832075834,0.077492878,-0.471289515,2.820042133,-0.151705191,-0.877499342,2.869138718,0.088188142,-0.879280388,2.860722542,-0.169123441,-0.970054567,2.825423717,0.131851465,-0.978975952,2.800772667
