id,time,Head_x,Head_y,Head_z,ShoulderCenter_x,ShoulderCenter_y,ShoulderCenter_z,ShoulderLeft_x,ShoulderLeft_y,ShoulderLeft_z,ShoulderRight_x,ShoulderRight_y,ShoulderRight_z,ElbowLeft_x,ElbowLeft_y,ElbowLeft_z,ElbowRight_x,ElbowRight_y,ElbowRight_z,WristLeft_x,WristLeft_y,WristLeft_z,WristRight_x,WristRight_y,WristRight_z,HandLeft_x,HandLeft_y,HandLeft_z,HandRight_x,HandRight_y,HandRight_z,Spine_x,Spine_y,Spine_z,HipCenter_x,HipCenter_y,HipCenter_z,HipLeft_x,HipLeft_y,HipLeft_z,HipRight_x,HipRight_y,HipRight_z,KneeLeft_x,KneeLeft_y,KneeLeft_z,KneeRight_x,KneeRight_y,KneeRight_z,AnkleLeft_x,AnkleLeft_y,AnkleLeft_z,AnkleRight_x,AnkleRight_y,AnkleRight_z,FootLeft_x,FootLeft_y,FootLeft_z,FootRight_x,FootRight_y,FootRight_z
1,313495704,0.038738407,0.742825389,2.263764143,0.028585272,0.53970319,2.310877323,-0.153563023,0.46217826,2.352774143,0.204389811,0.428840846,2.326642275,-0.431485236,0.490229487,2.356859207,0.315100342,0.219039068,2.375523806,-0.606158972,0.672644258,2.229217291,0.394001961,0.174461871,2.175396204,-0.64119029,0.740763843,2.210932493,0.414798975,0.190786749,2.076740503,0.041279886,0.192220449,2.322194099,0.040461957,0.12873961,2.275628567,-0.03671876,0.04831709,2.271570683,0.122244924,0.047606602,2.260879517,-0.06317839,-0.423482627,2.213252783,0.172559708,-0.436370134,2.223446846,-0.076820023,-0.811159492,2.271764994,0.192730188,-0.833340108,2.30190134,-0.081994116,-0.844998181,2.19316864,0.187556088,-0.867178798,2.223304987
2,313495707,0.03665895,0.742812514,2.263450861,0.02569776,0.540356278,2.310520649,-0.154536575,0.46141696,2.352977991,0.201741844,0.429594487,2.325938702,-0.433598995,0.480051607,2.358477354,0.314944595,0.219285652,2.375510693,-0.621068716,0.655532479,2.229948759,0.391133189,0.179189205,2.172842979,-0.660307944,0.715973198,2.213727713,0.413184941,0.191033542,2.074903727,0.039808657,0.191803455,2.322649717,0.038996067,0.128139794,2.275708437,-0.03793972,0.047782883,2.27193737,0.121012583,0.047467988,2.260837555,-0.06392204,-0.423156917,2.213325739,0.171846732,-0.43662709,2.223722219,-0.077517919,-0.808380842,2.271347523,0.192498565,-0.833567142,2.301764488,-0.082950279,-0.842202365,2.192916393,0.187066212,-0.867388666,2.223333359
3,313495711,0.034057692,0.741561413,2.263406277,0.024279844,0.540162563,2.310349941,-0.15658316,0.459319651,2.353437424,0.201022059,0.430432558,2.326616049,-0.436350256,0.468585759,2.361193657,0.314744502,0.220963195,2.375704288,-0.631945133,0.635197401,2.231785774,0.38863185,0.183610767,2.171163082,-0.668849826,0.681531131,2.217195749,0.411936522,0.191686928,2.072906733,0.039080799,0.191629499,2.323112726,0.038376901,0.127975956,2.275849342,-0.038532421,0.047354899,2.272161245,0.120548442,0.047456857,2.26096344,-0.064094596,-0.422958195,2.213423252,0.171557933,-0.43655318,2.223847389,-0.077630259,-0.809519053,2.271509647,0.192361131,-0.833414197,2.301969767,-0.083064064,-0.843299687,2.19322896,0.186927319,-0.867194831,2.223689079
4,313495714,0.029193049,0.739121199,2.262637138,0.021295011,0.540392637,2.310292721,-0.158067733,0.458528161,2.354278088,0.199616164,0.430727124,2.32661891,-0.43824476,0.458592862,2.36425519,0.314507693,0.220677391,2.375479698,-0.641529322,0.611500442,2.228105545,0.389336139,0.186050504,2.170363188,-0.672299147,0.656838417,2.21489048,0.411386073,0.192284942,2.073032379,0.037561148,0.191359684,2.32361865,0.036967814,0.127611026,2.276106358,-0.039934739,0.046750918,2.272612572,0.11960905,0.047423664,2.261134148,-0.064466417,-0.422867388,2.213506937,0.171236008,-0.436516583,2.224120855,-0.078168228,-0.808116019,2.271548748,0.19221957,-0.83331722,2.302088261,-0.083804734,-0.841872752,2.193418264,0.186583057,-0.867073953,2.223957777
5,313495717,0.025443826,0.740170598,2.259719372,0.019016195,0.540723443,2.309331179,-0.159312263,0.457928807,2.355134487,0.198917896,0.431156904,2.32647419,-0.439282775,0.443884313,2.368156433,0.31432277,0.220885456,2.375293732,-0.642608404,0.590754807,2.223720551,0.39004609,0.190228119,2.169408798,-0.680150986,0.614818394,2.212206841,0.410733342,0.193497568,2.072521687,0.036363959,0.191587269,2.323668242,0.035808854,0.127695277,2.276114941,-0.040927313,0.046633407,2.272889137,0.118638739,0.047607198,2.261106014,-0.064897396,-0.423110902,2.213660479,0.17090565,-0.436500728,2.224294424,-0.078034833,-0.809049904,2.271883488,0.192059278,-0.833540976,2.302178621,-0.083905511,-0.842815876,2.193921804,0.186188608,-0.867306948,2.224216938
6,313495721,0.02352339,0.739676356,2.25944066,0.01771969,0.540321529,2.309312344,-0.160144776,0.456965178,2.356122494,0.196476668,0.430660456,2.325378656,-0.437970787,0.426704139,2.377986431,0.313876808,0.220959544,2.375240564,-0.647298276,0.56185174,2.22933507,0.390565038,0.190246031,2.169326782,-0.685912967,0.59117347,2.21194911,0.410061181,0.195452362,2.072906017,0.035165153,0.190674722,2.323750496,0.034319941,0.126661748,2.276077986,-0.042025816,0.045736335,2.273010731,0.11700087,0.047055088,2.260991096,-0.065447018,-0.422677636,2.21369195,0.170442209,-0.437082022,2.224696398,-0.07794933,-0.810147226,2.271995783,0.19201842,-0.833909094,2.302458048,-0.084292606,-0.843862355,2.194208384,0.185675144,-0.867624223,2.224670649
7,313495724,0.019850397,0.738142312,2.258058786,0.015874742,0.539935172,2.308801413,-0.161642849,0.455523133,2.357661009,0.189443484,0.430893809,2.322174788,-0.434944689,0.406112581,2.390545845,0.313544512,0.231474191,2.369409084,-0.613734782,0.462342411,2.282836437,0.392411619,0.184759825,2.167327881,-0.696223319,0.54986316,2.21502614,0.409368008,0.196342528,2.071694136,0.033613268,0.189472213,2.323396921,0.032020245,0.125210196,2.275694132,-0.043781653,0.044771198,2.273072958,0.11437723,0.046457153,2.260430813,-0.065829709,-0.422803283,2.213695288,0.169981271,-0.437312216,2.224808455,-0.078439929,-0.808957934,2.271719933,0.191926181,-0.834010899,2.302521944,-0.085937455,-0.842648983,2.1941576,0.184428647,-0.867701948,2.224959612
8,313495727,0.016721476,0.738318563,2.255681753,0.014289921,0.539617181,2.308082104,-0.162876621,0.454989314,2.359887838,0.186705321,0.431726277,2.321089506,-0.432357848,0.391022891,2.397456408,0.306720465,0.24487102,2.373265982,-0.608379066,0.44573009,2.283421516,0.383662105,0.192008793,2.171791792,-0.690444112,0.506213188,2.219441891,0.408463269,0.197020888,2.071627617,0.032408062,0.189083934,2.3229568,0.030362239,0.124754667,2.275274754,-0.045111023,0.044581212,2.27296114,0.112234503,0.046446025,2.259869099,-0.066264302,-0.422685176,2.213580847,0.169532478,-0.438109934,2.225105047,-0.078670867,-0.807681799,2.271724939,0.191907823,-0.834125161,2.30262351,-0.086941548,-0.84135735,2.194349527,0.183637142,-0.867800713,2.225248098
9,313495730,0.008628633,0.740218222,2.254253149,0.013048382,0.539173007,2.307198524,-0.163288593,0.453952342,2.360917091,0.181955174,0.43277061,2.319385529,-0.428109407,0.376190275,2.403739452,0.30669111,0.243935317,2.373958826,-0.611851871,0.400821507,2.291213751,0.383039802,0.204824641,2.131488562,-0.699081063,0.479501963,2.22314024,0.40808183,0.197427616,2.07138443,0.031968392,0.188226044,2.322446823,0.029536767,0.123703614,2.274846315,-0.045259729,0.044131711,2.272840261,0.110842317,0.046238057,2.259541273,-0.066742241,-0.423132271,2.213578701,0.169347271,-0.43803665,2.225264072,-0.078665324,-0.808484375,2.271678925,0.191858441,-0.834301353,2.302923918,-0.08767271,-0.842156291,2.194507599,0.182851046,-0.867973208,2.225752592
10,313495734,0.004092407,0.736291647,2.2517519,0.011004622,0.537974834,2.307106018,-0.163429022,0.45216766,2.361383438,0.178729385,0.43226248,2.317986965,-0.419009745,0.353924781,2.413452148,0.306298137,0.243980214,2.374358654,-0.599309683,0.370289981,2.292796135,0.384964317,0.187520802,2.174171925,-0.680468678,0.401354641,2.238947153,0.407147229,0.198585555,2.070870638,0.031335413,0.186525226,2.321900606,0.028781369,0.121891633,2.274147749,-0.045145534,0.043039754,2.272047043,0.109782815,0.045640022,2.259215117,-0.067155547,-0.423123032,2.213443518,0.168794453,-0.438932955,2.225530624,-0.079103902,-0.807395816,2.271440029,0.191864252,-0.834054172,2.303413868,-0.088613726,-0.841014028,2.194410324,0.18235442,-0.867672384,2.226384163
