id,time,Head_x,Head_y,Head_z,ShoulderCenter_x,ShoulderCenter_y,ShoulderCenter_z,ShoulderLeft_x,ShoulderLeft_y,ShoulderLeft_z,ShoulderRight_x,ShoulderRight_y,ShoulderRight_z,ElbowLeft_x,ElbowLeft_y,ElbowLeft_z,ElbowRight_x,ElbowRight_y,ElbowRight_z,WristLeft_x,WristLeft_y,WristLeft_z,WristRight_x,WristRight_y,WristRight_z,HandLeft_x,HandLeft_y,HandLeft_z,HandRight_x,HandRight_y,HandRight_z,Spine_x,Spine_y,Spine_z,HipCenter_x,HipCenter_y,HipCenter_z,HipLeft_x,HipLeft_y,HipLeft_z,HipRight_x,HipRight_y,HipRight_z,KneeLeft_x,KneeLeft_y,KneeLeft_z,KneeRight_x,KneeRight_y,KneeRight_z,AnkleLeft_x,AnkleLeft_y,AnkleLeft_z,AnkleRight_x,AnkleRight_y,AnkleRight_z,FootLeft_x,FootLeft_y,FootLeft_z,FootRight_x,FootRight_y,FootRight_z
65,313494253,-0.115331776,0.724128425,2.507385254,-0.142047241,0.532721937,2.55146575,-0.315887749,0.433656782,2.561553717,0.052021965,0.413221836,2.516945601,-0.505316854,0.274591506,2.545029163,0.231472746,0.396515191,2.357912302,-0.598245323,0.345653355,2.362911701,0.172557026,0.597194552,2.179713964,-0.618447065,0.394661844,2.29627347,0.146887764,0.666730046,2.166238308,-0.124827385,0.168290064,2.537407637,-0.127685487,0.106621757,2.481702805,-0.205387548,0.02808488,2.462006807,-0.044568356,0.02158167,2.471395493,-0.235691771,-0.451050401,2.419865847,0.020115959,-0.478194743,2.411954165,-0.22918883,-0.881339192,2.488113403,0.057849325,-0.87375772,2.453984976,-0.25307855,-0.968711197,2.453606129,0.08741568,-0.95296514,2.418763161
66,313494257,-0.115164034,0.723824978,2.507795095,-0.141830742,0.531977117,2.553040743,-0.313708395,0.432931691,2.561888218,0.053833526,0.413360804,2.519888163,-0.50207901,0.274636954,2.549554825,0.233077407,0.396971166,2.361332417,-0.595909357,0.343776703,2.367219925,0.183962569,0.601616621,2.183021069,-0.618851244,0.39332962,2.296846151,0.163094312,0.675171971,2.171998024,-0.124348536,0.167458862,2.538665056,-0.126795948,0.105831787,2.482638121,-0.204432443,0.027488565,2.462314129,-0.043589491,0.021030828,2.472485542,-0.235483736,-0.450547695,2.419679165,0.02485764,-0.478624582,2.410634995,-0.229555145,-0.880832553,2.487754583,0.068968177,-0.871525764,2.452782154,-0.253322095,-0.968242049,2.453099966,0.101502873,-0.953332663,2.416255474
67,313494260,-0.113884687,0.723453403,2.508228064,-0.140941828,0.531510115,2.553552389,-0.310548156,0.433315396,2.563776255,0.055779133,0.413021058,2.521486282,-0.499434024,0.273907542,2.552339792,0.236717552,0.398585498,2.363419294,-0.594059825,0.342421085,2.37025857,0.201544046,0.600986362,2.187229633,-0.618904412,0.391885757,2.298125029,0.17491138,0.67880249,2.172531128,-0.122893751,0.166917592,2.539872885,-0.125293538,0.105165064,2.483743668,-0.202446088,0.026778821,2.462967157,-0.042292789,0.02059482,2.473985672,-0.235384092,-0.450407356,2.419756651,0.030972173,-0.482591152,2.40879941,-0.229532108,-0.881662846,2.488710403,0.081911556,-0.873034239,2.452335835,-0.252690524,-0.968886375,2.454106331,0.110008284,-0.955434144,2.42220974
68,313494263,-0.112474836,0.723731041,2.508708477,-0.13738811,0.530531645,2.555035353,-0.306939662,0.433401436,2.565853834,0.060264494,0.413049102,2.523585796,-0.497295022,0.269178331,2.557406425,0.243040532,0.399274498,2.367900848,-0.590000451,0.340222061,2.375337839,0.2282179,0.60097909,2.19038558,-0.616588056,0.389027536,2.302715778,0.213567257,0.677515388,2.17092371,-0.120323859,0.166267231,2.541200399,-0.122901618,0.104626134,2.484822035,-0.200187877,0.026269993,2.46355176,-0.040139444,0.020019002,2.475101233,-0.234979972,-0.450370967,2.419553995,0.034905933,-0.460235417,2.407222986,-0.229675874,-0.881018519,2.488004446,0.089825317,-0.872362375,2.451625824,-0.253421724,-0.968909264,2.453866243,0.123331815,-0.955937743,2.418292522
69,313494267,-0.106715746,0.722316265,2.509345293,-0.132213384,0.529526949,2.557497978,-0.301042348,0.43229273,2.567465544,0.065551631,0.412560999,2.525706053,-0.486461878,0.262300611,2.569669724,0.254104108,0.40655452,2.366758347,-0.583978951,0.336176097,2.383586407,0.248525083,0.600599825,2.189798355,-0.613155842,0.386573732,2.306092978,0.23694092,0.677613735,2.169927597,-0.116326496,0.165302902,2.54241991,-0.119051158,0.103877462,2.485662699,-0.196664557,0.025532166,2.463962793,-0.03640829,0.019610344,2.475636721,-0.233884886,-0.450155705,2.418651104,0.037510339,-0.454250991,2.407923222,-0.229851052,-0.880531609,2.48803091,0.094302416,-0.870835662,2.450852633,-0.253541917,-0.968769312,2.454003572,0.128804237,-0.953520536,2.414612293
70,313494270,-0.100630194,0.726145744,2.512830734,-0.122572653,0.529516697,2.559560061,-0.295897216,0.432039797,2.57008934,0.074820802,0.412547112,2.526195765,-0.482969642,0.258903742,2.572561741,0.26741159,0.412050545,2.364661694,-0.576700509,0.331245661,2.390491724,0.275717229,0.604359984,2.189103842,-0.608566284,0.382309437,2.31063509,0.286749393,0.683439016,2.172255993,-0.109906971,0.165299892,2.543149471,-0.113453373,0.104111835,2.486059427,-0.192797422,0.025673224,2.464156151,-0.03014959,0.019168269,2.475275278,-0.232796669,-0.451946378,2.417668581,0.045367867,-0.477749348,2.411915302,-0.229539678,-0.880471289,2.488819122,0.095412187,-0.870728254,2.450486183,-0.253421187,-0.968789577,2.454211712,0.130623862,-0.954771399,2.414329052
71,313494273,-0.094256729,0.724861264,2.51320982,-0.114939995,0.52795136,2.560089111,-0.284759998,0.429077387,2.571505785,0.083436847,0.413339138,2.527610302,-0.4722628,0.254154027,2.577135801,0.278058648,0.414942235,2.366541386,-0.574574232,0.331456363,2.390705347,0.305060804,0.609888613,2.188038111,-0.603955746,0.381566614,2.312608957,0.296488822,0.681558251,2.171296835,-0.102599107,0.164113522,2.543161869,-0.106432319,0.103118345,2.485817194,-0.18522194,0.024501715,2.464618444,-0.024054553,0.018736504,2.473914385,-0.231123209,-0.45274508,2.417039394,0.04622196,-0.474153757,2.411804199,-0.229086399,-0.880085468,2.487841129,0.096613042,-0.870623231,2.450699329,-0.252690256,-0.96860534,2.453763008,0.131232083,-0.9547562,2.41446209
72,313494277,-0.088360973,0.723994136,2.515548944,-0.107159145,0.527932048,2.56020689,-0.27308929,0.427891493,2.57168746,0.088693477,0.413771451,2.528564215,-0.463877559,0.2527107,2.577913761,0.290688634,0.418319643,2.370640755,-0.567308545,0.330611855,2.39474082,0.328490704,0.619763255,2.182872295,-0.598410606,0.378639489,2.320708513,0.329505235,0.68109709,2.166632175,-0.094637923,0.162480965,2.542331696,-0.098455489,0.101266295,2.484648466,-0.177155435,0.024355108,2.463835001,-0.016674733,0.016949939,2.47220397,-0.223090947,-0.453534335,2.41468358,0.049331494,-0.47125262,2.412843704,-0.228249848,-0.87769872,2.487099171,0.097306058,-0.870528936,2.450490475,-0.252620488,-0.968167067,2.453668118,0.131799981,-0.955305099,2.41471982
73,313494280,-0.071049228,0.723767579,2.513859749,-0.099359505,0.528277159,2.559511662,-0.267148793,0.426627457,2.572041512,0.099430338,0.414290994,2.529133558,-0.456985712,0.251372486,2.57886219,0.297209591,0.403200448,2.409192562,-0.561420679,0.328659147,2.398179293,0.35033536,0.595041692,2.201905012,-0.594073176,0.376765162,2.323656797,0.359438539,0.677379131,2.164539337,-0.084789082,0.162146434,2.541689634,-0.088172965,0.100751854,2.483870983,-0.166124105,0.023293998,2.463808537,-0.005808906,0.016506579,2.470421314,-0.216087237,-0.456394076,2.4138906,0.051096011,-0.465820968,2.413952351,-0.227594808,-0.87663132,2.486810684,0.102901176,-0.873128355,2.450563192,-0.25189653,-0.966943741,2.452443123,0.133463174,-0.956862926,2.415988207
74,313494283,-0.061200544,0.725672245,2.516909122,-0.090073243,0.530228674,2.558874846,-0.255798131,0.428257644,2.573960781,0.113362953,0.415448576,2.529723167,-0.445639372,0.248743355,2.58298707,0.303307116,0.40348947,2.412770271,-0.552942514,0.326552033,2.401942253,0.374185205,0.586278558,2.202517033,-0.590273976,0.374597549,2.327229023,0.389754891,0.668892026,2.158433914,-0.075697698,0.163552269,2.540900469,-0.079307511,0.102094799,2.482962132,-0.158499211,0.024167623,2.463310719,0.004088895,0.017857384,2.468795538,-0.208545998,-0.458072722,2.414913893,0.05957225,-0.473594368,2.41534996,-0.226571918,-0.875921488,2.48592782,0.103650331,-0.87403506,2.450874567,-0.251870364,-0.966442466,2.451949596,0.133587137,-0.957015216,2.415941715
